Volatility 3 Framework 2.7.0

PID     PPID    ImageFileName   Offset(V)       Threads Handles SessionId       Wow64   CreateTime      ExitTime    File output

4       0       System  0xbe8e71087040  151     -       N/A     False   2020-09-19 01:24:07.000000      N/ADisabled
92      4       Registry        0xbe8e710a6080  4       -       N/A     False   2020-09-19 01:24:04.000000 N/A      Disabled
312     4       smss.exe        0xbe8e71d6d040  2       -       N/A     False   2020-09-19 01:24:07.000000 N/A      Disabled
424     416     csrss.exe       0xbe8e74467140  10      -       0       False   2020-09-19 01:24:08.000000 N/A      Disabled
500     416     wininit.exe     0xbe8e74519080  1       -       0       False   2020-09-19 01:24:08.000000 N/A      Disabled
616     500     services.exe    0xbe8e74575080  7       -       0       False   2020-09-19 01:24:08.000000 N/A      Disabled
656     500     lsass.exe       0xbe8e74fab080  11      -       0       False   2020-09-19 01:24:08.000000 N/A      Disabled
764     616     svchost.exe     0xbe8e7560d240  28      -       0       False   2020-09-19 01:24:08.000000 N/A      Disabled
784     500     fontdrvhost.ex  0xbe8e75611180  5       -       0       False   2020-09-19 01:24:08.000000 N/A      Disabled
884     616     svchost.exe     0xbe8e75648240  17      -       0       False   2020-09-19 01:24:08.000000 N/A      Disabled
448     616     svchost.exe     0xbe8e75739240  63      -       0       False   2020-09-19 01:24:08.000000 N/A      Disabled
520     616     svchost.exe     0xbe8e7573e2c0  32      -       0       False   2020-09-19 01:24:08.000000 N/A      Disabled
904     616     svchost.exe     0xbe8e757762c0  15      -       0       False   2020-09-19 01:24:08.000000 N/A      Disabled
968     616     svchost.exe     0xbe8e75778080  23      -       0       False   2020-09-19 01:24:08.000000 N/A      Disabled
988     616     svchost.exe     0xbe8e7577a300  18      -       0       False   2020-09-19 01:24:08.000000 N/A      Disabled
1096    616     svchost.exe     0xbe8e757b22c0  19      -       0       False   2020-09-19 01:24:08.000000 N/A      Disabled
1136    616     svchost.exe     0xbe8e757e42c0  4       -       0       False   2020-09-19 01:24:08.000000 N/A      Disabled
1148    616     svchost.exe     0xbe8e75808240  17      -       0       False   2020-09-19 01:24:08.000000 N/A      Disabled
1408    616     svchost.exe     0xbe8e758bd300  14      -       0       False   2020-09-19 01:24:08.000000 N/A      Disabled
1576    616     svchost.exe     0xbe8e75998240  14      -       0       False   2020-09-19 01:24:09.000000 N/A      Disabled
1816    4       MemCompression  0xbe8e7112d040  54      -       N/A     False   2020-09-19 01:24:09.000000 N/A      Disabled
1896    616     svchost.exe     0xbe8e75a54300  12      -       0       False   2020-09-19 01:24:09.000000 N/A      Disabled
2040    616     svchost.exe     0xbe8e710d6080  3       -       0       False   2020-09-19 01:24:09.000000 N/A      Disabled
1032    616     svchost.exe     0xbe8e75aea2c0  10      -       0       False   2020-09-19 01:24:09.000000 N/A      Disabled
1192    616     svchost.exe     0xbe8e75aef300  6       -       0       False   2020-09-19 01:24:09.000000 N/A      Disabled
2060    616     svchost.exe     0xbe8e75bbc2c0  6       -       0       False   2020-09-19 01:24:09.000000 N/A      Disabled
2188    616     spoolsv.exe     0xbe8e75c2c200  10      -       0       False   2020-09-19 01:24:09.000000 N/A      Disabled
2248    616     svchost.exe     0xbe8e75c43240  9       -       0       False   2020-09-19 01:24:09.000000 N/A      Disabled
2364    616     vmtoolsd.exe    0xbe8e74364280  9       -       0       False   2020-09-19 01:24:09.000000 N/A      Disabled
2372    616     VGAuthService.  0xbe8e75cdd300  2       -       0       False   2020-09-19 01:24:09.000000 N/A      Disabled
2396    616     wlms.exe        0xbe8e75cde080  2       -       0       False   2020-09-19 01:24:09.000000 N/A      Disabled
2404    616     MsMpEng.exe     0xbe8e75ce0080  9       -       0       False   2020-09-19 01:24:09.000000 N/A      Disabled
2952    616     dllhost.exe     0xbe8e7600a280  10      -       0       False   2020-09-19 01:24:11.000000 N/A      Disabled
2548    764     WmiPrvSE.exe    0xbe8e75d97280  11      -       0       False   2020-09-19 01:24:11.000000 N/A      Disabled
3520    616     msdtc.exe       0xbe8e763282c0  9       -       0       False   2020-09-19 01:24:13.000000 N/A      Disabled
2684    616     svchost.exe     0xbe8e760b7080  7       -       0       False   2020-09-19 01:24:30.000000 N/A      Disabled
2748    616     SgrmBroker.exe  0xbe8e7654b080  7       -       0       False   2020-09-19 01:26:10.000000 N/A      Disabled
2208    616     svchost.exe     0xbe8e7654f240  1       -       0       False   2020-09-19 01:26:11.000000 N/A      Disabled
2216    616     svchost.exe     0xbe8e76485300  11      -       0       False   2020-09-19 01:26:11.000000 N/A      Disabled
3708    616     SearchIndexer.  0xbe8e762f3240  19      -       0       False   2020-09-19 01:26:11.000000 N/A      Disabled
1608    616     svchost.exe     0xbe8e711952c0  3       -       0       False   2020-09-19 01:28:10.000000 N/A      Disabled
4092    616     svchost.exe     0xbe8e77ee2080  4       -       0       False   2020-09-19 01:31:39.000000 N/A      Disabled
4592    764     MicrosoftEdge.  0xbe8e770f0080  0       -       1       False   2020-09-19 03:16:05.000000 2020-09-19 03:17:00.000000       Disabled
5664    616     SecurityHealth  0xbe8e79004280  14      -       0       False   2020-09-19 03:16:17.000000 N/A      Disabled
